100 A aDmN 01 0002 0003 004 05 6000 Gerry Agnew
111 A sale 10 2000 1000 000 25 1000 Bart Simpson
112 X it   05 1000 0000 040 15 2500 aaaa aaaaaa
222 a admn 00 0000 0000 010 05 3000 Porky Pig
223 x dist 00 0000 0000 005 10 3500 bbbb bbbbbb
333 A SALE 01 0500 1234 000 15 4000 Tweety Bird
334 x IT   02 0010 0000 300 20 4500 cccc cccccc
444 a ADMN 00 0000 0000 000 25 5000 Betty Boop
555 A DIST 00 0000 0000 000 30 6000 Daffy Duck
666 a Sale 07 9000 0999 000 28 5000 Bugs Bunny
777 A Admn 00 0000 0000 050 26 4500 dddd dddddd
888 A It   02 1234 0000 066 24 4000 Pink Panther
999 a Dist 00 0000 0000 123 22 3000 Wile Cayote
99999
